TACC3	AURKA	CKAP5	Aurora_A/chTOG/TACC3_(complex)
POLDIP3	mRNA_cap_binding_complex	EJC_(complex)	SKAR/EJC/mRNA_cap_binding_complex_(complex)
MRE11A	NBN	RAD50	MRE11/RAD50/NBS1_complex_(complex)
HSP90_homodimer_(complex)	Ligand-responsive_p-6Y-EGFR_mutants_resistant_to_non-covalent_TKIs_(family)	CDC37_homodimer_(complex)	Ligand-responsive_p-6Y-EGFR_mutants_resistant_to_non-covalent_TKIs/HSP90/CDC37_(complex)
GATA4	SRF	NKX2-5	NKX_2.5/SRF/GATA4_(complex)
EIF4E	EIF4G1	EIF4A1	EIF-4E/EIF-4G/EIF-4A_(complex)
JAK1	STAT2	IFNAR2-2	IFNAR2/p-JAK1/STAT2_(complex)
GNB1	GNG2	GNAI2	GNAI2/GDP/G_beta/gamma_(complex)
SMG1/SMG8/SMG9_Complex_(complex)	Translated_mRNA_Complex_with_Premature_Termination_Codon_Preceding_Exon_Junction_(complex)	UPF1	SMG1/UPF1/eRF1/eRF3_Complex/Exon_Junction_Complex_on_Translated_mRNA_(complex)
ABI1	SOS1	EPS8	SOS1/Eps8/ABI1_(complex)
WNT3A	LRP6	FZD5	WNT3A/LRP6/FZD5_(complex)
VEGFA-4	VEGFA_(dimer)_(complex)	KDR	VEGFR2_(dimer)/VEGFA_(dimer)_(complex)
MEF2C	NFATC1	GATA4	NFATc(+)/MEF2C/GATA4_(complex)
GRB2	GAB2	SOS1	GAB2/GRB2/SOS1_(complex)
hTR_RNA_(rna)	TERT	TERT(+1)/TEP1/hTR_RNA_(complex)	TERT(+1)/hTR_RNA_(complex)
EP300	CREBBP	NMI	Nmi/p300/CBP_(complex)
CRK	DOCK1	BCAR1	p130CAS/Crk/Dock1_(complex)
JAG2	NOTCH1_heterodimer_(complex)	NOTCH1	NOTCH1_heterodimer/Jagged_2_(complex)
ARHGEF7	RAC1/GTP_(complex)	RAC1	RAC1/GTP/betaPIX_(complex)
PDGFA	PDGFRA	PDGF/PDGF_R_(complex)	PDGF/PDGF/PDGF_R/PDGF_R_(complex)
FGF19	FGFR4	KLB	Activated_FGFR4_bound_to_FGF19/BetaKlotho_(complex)
ATF2_(dimer)_(complex)	ESR1	ATF2	ATF2_(dimer)/ER_alpha_(complex)
HDAC1	RBPJ	NCoR_(family)	RBPJ/NCoR/HDAC1_(complex)
ISG15	HERC5	E2_enzymes_UbcH8/UBE1L_(family)	ISG15/UBEIL/UbcH8/CEB1_(complex)
BLM	TOP3A	RMI1	BLM/TOP3A/BLAP75_(complex)
PABPC1	Cap_Binding_Complex_(CBC)_(complex)	EIF4G1	mRNA_Complex_with_a_Premature_Termination_Codon_Not_Preceding_an_Exon_Junction_(complex)
IRS-1/2	GRB2	IL-4/IL-2R-gamma/IL-2R-alpha/JAK3/JAK1/IRS1/2_(complex)	IRS1/2/GRB2_(complex)
SMURF2	SMAD2	TGFB/TGFBR2/TGFBR1/km23-1_(complex)	SMAD2/SMURF2_(complex)
BIN1	PIP2/AP180/AP2/EPSIN/Eps15/Amph1/2/dynamin/synaptojanin_(complex)	BIN2	Amph1/2_(complex)
MNAT1	CCNH	CDK7	CAK_(complex)
Alpha-Synucelin_(Fibrillar_inclusion_bodies)_(complex)	Q9HC59	SNCA	LEWY_BODY_(complex)
GNG2	GNB1	Gi_family_(family)	Gi_family/GNB1/GNG2/GDP_(complex)
TERC_(rna)	DKC1	TERT	Telomerase_RNP_(complex)
FASLG/FAS_(trimer)/FADD/FADD/CASP8/CASP8_(complex)	CASP8	FADD	Caspase_8_(tetramer)/FADD/FADD_(complex)
